,symbol,expiry,strike,bid_price_call,ask_price_call,mid_price_call,last_price_call,volume_call,ib_bid_delta_call,implied_vol_mid_point_call,mid_point_delta_call,bid_price_put,ask_price_put,mid_price_put,last_price_put,volume_put,ib_bid_delta_put,implied_vol_mid_point_put,mid_point_delta_put,und_price,tte
39,GME,2021-06-11,300.0,4.7,5.25,4.975,4.85,2380.0,0.21691203288459404,1.7096488172020516,0.2487344837522719,32.0,33.95,32.975,33.05,672.0,-0.8143876264005713,1.7401965711202394,-0.7443263811841622,272.0,0.005928853754940711
40,GME,2021-06-11,302.5,4.3,4.85,4.574999999999999,4.85,248.0,0.2000663959159847,1.7253665022536993,0.23160885652479657,34.0,36.05,35.025,36.6,21.0,-0.8381182741764388,1.7501049444644763,-0.7623388284592972,272.0,0.005928853754940711
41,GME,2021-06-11,305.0,3.9,4.45,4.175,4.15,264.0,0.18396297119030308,1.7355199785108355,0.21474118034433967,36.1,38.2,37.150000000000006,36.74,106.0,-0.8497576250541067,1.7660715849000883,-0.7783680310497346,272.0,0.005928853754940711
42,GME,2021-06-11,310.0,3.35,3.8,3.575,3.4,928.0,0.15541605517480223,1.7736937054568285,0.18694051606445872,40.5,42.6,41.55,41.0,234.0,-0.8816772676202556,1.8081334330595527,-0.8057801377037649,272.0,0.005928853754940711
43,GME,2021-06-11,320.0,2.5,2.78,2.6399999999999997,2.64,1054.0,0.11266985654351791,1.8467914014934337,0.14196763855958228,49.45,51.7,50.575,49.4,106.0,-0.925341868312285,1.8823328021994978,-0.8512717582731215,272.010009765625,0.005928853754940711
44,GME,2021-06-11,330.0,1.91,2.19,2.05,2.05,580.0,0.082763276058901,1.9372394988577804,0.1110463094749999,58.85,61.1,59.975,58.8,115.0,-0.9580115426740728,1.9787279990329647,-0.8821634303409951,272.010009765625,0.005928853754940711
45,GME,2021-06-11,340.0,1.56,1.75,1.655,1.65,955.0,0.06286327627226326,2.035313720563137,0.08926941227233373,68.45,70.75,69.6,68.0,16.0,-0.9869980503679495,2.090857546934176,-0.9030797447243767,272.010009765625,0.005928853754940711
46,GME,2021-06-11,350.0,1.3,1.5,1.4,1.41,2383.0,0.04850413865703779,2.1441102882022767,0.07431003875355847,78.15,80.5,79.325,79.25,55.0,-0.9996059651464727,2.2023966643013146,-0.9186522186433839,272.010009765625,0.005928853754940711
47,GME,2021-06-11,360.0,1.14,1.34,1.24,1.18,1191.0,0.03820573327336967,2.2634187145360554,0.0641323121602302,87.9,90.3,89.1,91.0,3.0,-0.9846294783799974,2.306227716060852,-0.9311001040164623,272.010009765625,0.005928853754940711
48,GME,2021-06-11,370.0,0.94,1.14,1.04,0.97,630.0,0.0312557893690646,2.3474441167415065,0.05350618242138901,97.85,100.15,99.0,,2.0,-0.9918729569381625,2.437679706762701,-0.9382359012998064,272.010009765625,0.005928853754940711
49,GME,2021-06-11,380.0,0.87,1.04,0.9550000000000001,0.94,378.0,0.026239841017514278,2.4645281953347618,0.04776438930774373,107.85,110.05,108.94999999999999,109.8,12.0,-0.9922987084078212,2.5780771213923903,-0.942956351168121,272.010009765625,0.005928853754940711
50,GME,2021-06-11,390.0,0.78,0.89,0.835,0.85,366.0,0.022058909988610088,2.551428886290336,0.04130006392070932,117.7,119.95,118.825,115.0,8.0,-0.9988590716002443,2.676164427396253,-0.9495820066608794,272.010009765625,0.005928853754940711
51,GME,2021-06-18,205.0,69.3,72.05,70.675,75.0,2.0,0.9227315113276192,1.5441959849211682,0.8973217589502157,,,,3.78,25.0,,,,272.010009765625,0.025691699604743084
52,GME,2021-06-18,210.0,64.9,67.35,66.125,66.7,3.0,0.9040756305948695,1.5001775474990868,0.8841952670909229,4.2,4.65,4.425000000000001,4.45,76.0,-0.12201017132527221,1.5397641707536227,-0.11986692427319212,272.010009765625,0.025691699604743084
53,GME,2021-06-18,220.0,56.45,59.15,57.8,,48.0,0.8702146146617283,1.4731492118308414,0.8453721068552285,5.85,6.25,6.05,5.86,384.0,-0.1601378096897479,1.5019982708998798,-0.1572430441302044,272.010009765625,0.025691699604743084
54,GME,2021-06-18,225.0,52.45,55.15,53.8,,,0.8438056470947654,1.4590864187453407,0.8233556532040894,,,,6.9,15.0,,,,272.010009765625,0.025691699604743084
55,GME,2021-06-18,230.0,48.6,51.25,49.925,49.75,63.0,0.8185487155579473,1.4452812368971586,0.7995446832523474,,,,8.3,229.0,,,,272.010009765625,0.025691699604743084
56,GME,2021-06-18,235.0,45.0,47.65,46.325,,1.0,0.7872387912509577,1.4425399905542495,0.7728122366971547,9.35,10.1,9.725,9.3,43.0,-0.23017823138513774,1.4781704416130863,-0.22970090852238,272.010009765625,0.025691699604743084
57,GME,2021-06-18,240.0,41.55,44.15,42.849999999999994,43.7,87.0,0.7592271860347711,1.4376166556672032,0.7449064209797673,,,,11.5,206.0,,,,272.010009765625,0.025691699604743084
58,GME,2021-06-18,245.0,38.3,40.9,39.599999999999994,,1.0,0.7295022179023063,1.437337752385548,0.7153661514338437,12.5,13.5,13.0,12.7,215.0,-0.2857323436377574,1.4700826056879506,-0.2857821662720278,272.010009765625,0.025691699604743084
59,GME,2021-06-18,250.0,35.4,37.6,36.5,36.8,190.0,0.6989275897198971,1.4360052805972618,0.6849807010467048,,,,14.65,346.0,,,,272.010009765625,0.025691699604743084
60,GME,2021-06-18,255.0,,,,35.33,11.0,,,,16.45,17.8,17.125,16.8,55.0,-0.34557670959601644,1.4756892791787581,-0.3462870237979333,272.010009765625,0.025691699604743084
61,GME,2021-06-18,260.0,,,,32.6,50.0,,,,,,,19.0,87.0,,,,272.010009765625,0.025691699604743084
62,GME,2021-06-18,265.0,27.75,29.5,28.625,28.9,10.0,0.6026418779601451,1.457330164644222,0.5903976266556333,21.25,22.8,22.025,21.55,51.0,-0.4078682030527994,1.4878776127404787,-0.40796697321512354,272.010009765625,0.025691699604743084
63,GME,2021-06-18,270.0,,,,26.9,180.0,,,,23.95,25.2,24.575,24.75,278.0,-0.4388273842545547,1.4855672598412106,-0.4386987671222339,272.010009765625,0.025691699604743084
64,GME,2021-06-18,275.0,,,,24.21,192.0,,,,26.75,28.15,27.45,27.8,112.0,-0.46890835177560397,1.4931330616594565,-0.4689029318733343,272.010009765625,0.025691699604743084
65,GME,2021-06-18,280.0,,,,21.9,498.0,,,,29.85,31.45,30.65,30.2,114.0,-0.49847668258987116,1.510687887605167,-0.4978035006836411,272.010009765625,0.025691699604743084
66,GME,2021-06-18,282.5,,,,22.35,30.0,,,,31.45,33.05,32.25,29.15,14.0,-0.5134915531392622,1.5163422875209285,-0.5120393405017052,272.010009765625,0.025691699604743084
67,GME,2021-06-18,285.0,,,,20.61,47.0,,,,33.05,34.65,33.849999999999994,34.0,6.0,-0.5278409017517333,1.5199953363476395,-0.5261871585582818,272.010009765625,0.025691699604743084
68,GME,2021-06-18,287.5,19.15,20.35,19.75,19.57,11.0,0.4656847439940623,1.5013083016085333,0.4562704641273523,34.7,36.35,35.525000000000006,,8.0,-0.5324733621442789,1.5260190193114611,-0.5398960157930071,272.010009765625,0.025691699604743084
69,GME,2021-06-18,290.0,,,,18.5,111.0,,,,36.4,38.15,37.275,37.4,23.0,-0.555148637632592,1.534495157194783,-0.5530871332451255,272.010009765625,0.025691699604743084
70,GME,2021-06-18,292.5,17.55,18.7,18.125,18.0,5.0,0.4391707401131678,1.5085048142763495,0.42878526875169465,38.1,39.8,38.95,38.25,9.0,-0.5619582276892625,1.5367857934015956,-0.5666085233659433,272.010009765625,0.025691699604743084
71,GME,2021-06-18,295.0,16.85,18.0,17.425,18.56,13.0,0.40715739487075503,1.5159130840000032,0.41588489308681503,39.8,41.65,40.724999999999994,41.0,34.0,-0.5834289924964696,1.5431023566851807,-0.5794389065040839,272.010009765625,0.025691699604743084
72,GME,2021-06-18,297.5,16.0,17.35,16.675,17.5,12.0,0.414386595379101,1.5186076937078066,0.40272774868782335,41.65,43.5,42.575,42.15,5.0,-0.5956297848321835,1.5521053049984468,-0.591644583289026,272.010009765625,0.025691699604743084
73,GME,2021-06-18,300.0,,,,16.0,644.0,,,,,,,44.1,212.0,,,,272.010009765625,0.025691699604743084
