,data_collection_time,symbol,expiry,strike,kind,und_price,bid_price,ask_price,mid_price,last_price,volume,ib_bid_delta
1112,2021-06-25 11:54:47.232315,AMC,2021-06-25,47.0,C,54.33000183105469,7.25,7.5,7.375,7.3,217.0,
1113,2021-06-25 11:54:47.232315,AMC,2021-06-25,48.0,C,54.33000183105469,6.25,6.5,6.375,6.25,226.0,
1114,2021-06-25 11:54:47.232315,AMC,2021-06-25,49.0,C,54.33000183105469,5.25,5.6,5.425,5.4,583.0,0.997491045529035
1115,2021-06-25 11:54:47.232315,AMC,2021-06-25,50.0,C,54.34000015258789,4.35,4.55,4.449999999999999,4.5,3265.0,0.9914439417349431
1116,2021-06-25 11:54:47.232315,AMC,2021-06-25,51.0,C,54.34000015258789,3.45,3.6,3.5250000000000004,3.5,468.0,0.978908180775671
1117,2021-06-25 11:54:47.232315,AMC,2021-06-25,52.0,C,54.34000015258789,2.59,2.7,2.645,2.66,1204.0,0.9281539653181021
1118,2021-06-25 11:54:47.232315,AMC,2021-06-25,53.0,C,54.34000015258789,1.88,1.9,1.89,1.89,3684.0,0.7966202720202795
1119,2021-06-25 11:54:47.232315,AMC,2021-06-25,54.0,C,54.34000015258789,1.23,1.26,1.245,1.22,11925.0,0.5922125632275281
1120,2021-06-25 11:54:47.232315,AMC,2021-06-25,55.0,C,54.34000015258789,0.79,0.8,0.795,0.8,21234.0,0.34588813256862544
1121,2021-06-25 11:54:47.232315,AMC,2021-06-25,56.0,C,54.34000015258789,0.5,0.51,0.505,0.5,11437.0,0.16386902928094893
1122,2021-06-25 11:54:47.233314,AMC,2021-06-25,57.0,C,54.34000015258789,0.32,0.33,0.325,0.32,10564.0,0.06873183626375678
1123,2021-06-25 11:54:47.233314,AMC,2021-06-25,58.0,C,54.34000015258789,0.21,0.23,0.22,0.22,7039.0,0.02712008568537979
1124,2021-06-25 11:54:47.233314,AMC,2021-06-25,59.0,C,54.34000015258789,0.15,0.16,0.155,0.16,6959.0,0.011590390979488928
1125,2021-06-25 11:54:47.233314,AMC,2021-06-25,60.0,C,54.33000183105469,0.11,0.12,0.11499999999999999,0.12,27303.0,0.004560190011771531
1126,2021-06-25 11:54:47.233314,AMC,2021-06-25,61.0,C,54.34000015258789,0.09,0.1,0.095,0.1,5168.0,0.0027223337382688588
1127,2021-06-25 11:54:47.233314,AMC,2021-06-25,62.0,C,54.34000015258789,0.08,0.09,0.08499999999999999,0.08,4153.0,0.0012724814429057262
1128,2021-06-25 11:54:47.233314,AMC,2021-06-25,63.0,C,54.34000015258789,0.06,0.07,0.065,0.06,2396.0,0.0007887752508756772
1129,2021-06-25 11:54:47.233314,AMC,2021-06-25,64.0,C,54.34000015258789,0.05,0.06,0.055,0.06,1165.0,0.00041120623131544147
1130,2021-06-25 11:54:47.233314,AMC,2021-06-25,65.0,C,54.34000015258789,0.05,0.06,0.055,0.06,12761.0,0.00036262779716679267
1131,2021-06-25 11:54:47.233314,AMC,2021-06-25,66.0,C,54.34000015258789,0.04,0.05,0.045,0.04,2255.0,0.0001938053551185826
1132,2021-06-25 11:54:47.233314,AMC,2021-06-25,67.0,C,54.34000015258789,0.04,0.05,0.045,0.05,5122.0,0.00015555485571166935
1133,2021-06-25 11:54:47.233314,AMC,2021-06-25,68.0,C,54.34000015258789,0.03,0.04,0.035,0.03,746.0,7.873473951520893e-05
1134,2021-06-25 11:54:47.233314,AMC,2021-06-25,69.0,C,54.34000015258789,0.03,0.04,0.035,0.04,876.0,6.47002495562309e-05
1135,2021-06-25 11:54:47.233314,AMC,2021-06-25,70.0,C,54.34000015258789,0.03,0.04,0.035,0.04,5383.0,5.42136578060214e-05
1136,2021-06-25 11:54:47.233314,AMC,2021-06-25,71.0,C,54.34000015258789,0.03,0.04,0.035,0.04,1037.0,5.049318843173465e-05
1137,2021-06-25 11:54:47.233314,AMC,2021-06-25,72.0,C,54.34000015258789,0.03,0.04,0.035,0.04,876.0,4.475913217995288e-05
1138,2021-06-25 11:54:47.233314,AMC,2021-06-25,73.0,C,54.34000015258789,0.03,0.04,0.035,0.03,302.0,3.950798098944757e-05
1139,2021-06-25 11:54:47.233314,AMC,2021-06-25,74.0,C,54.34000015258789,0.02,0.04,0.03,0.05,203.0,1.5146411384000604e-05
1140,2021-06-25 11:54:47.233314,AMC,2021-06-25,75.0,C,54.34000015258789,0.02,0.03,0.025,0.03,1128.0,3.0207444741325162e-05
1141,2021-06-25 11:54:47.233314,AMC,2021-06-25,76.0,C,54.34000015258789,0.03,0.04,0.035,0.03,203.0,2.6869143702642576e-05
1142,2021-06-25 11:54:47.233314,AMC,2021-06-25,77.0,C,54.34000015258789,0.02,0.03,0.025,0.02,213.0,1.0038987907051635e-05
1143,2021-06-25 11:54:47.233314,AMC,2021-06-25,78.0,C,54.34000015258789,0.02,0.03,0.025,0.03,222.0,9.319050105138022e-06
1144,2021-06-25 11:54:47.234314,AMC,2021-06-25,79.0,C,54.34000015258789,0.02,0.03,0.025,0.02,163.0,8.644871284026784e-06
1145,2021-06-25 11:54:47.234314,AMC,2021-06-25,80.0,C,54.34000015258789,0.02,0.03,0.025,0.03,2295.0,7.659414748263613e-06
1146,2021-06-25 11:54:47.234314,AMC,2021-06-25,81.0,C,54.34000015258789,0.01,0.03,0.02,0.02,111.0,1.3414382979475445e-06
1147,2021-06-25 11:54:47.234314,AMC,2021-06-25,82.0,C,54.34000015258789,0.01,0.03,0.02,0.02,79.0,1.2636752135646902e-06
1148,2021-06-25 11:54:47.234314,AMC,2021-06-25,83.0,C,54.34000015258789,0.01,0.02,0.015,0.01,93.0,1.190271412999532e-06
1149,2021-06-25 11:54:47.234314,AMC,2021-06-25,84.0,C,54.34000015258789,0.01,0.02,0.015,0.02,88.0,1.12086962092766e-06
